Type,ID,Name,Description,MaxLevel,Cost1,Cost2,Cost3,Cost4,Cost5,Value1,Value2,Value3,Value4,Value5,GridX,GridY,ConnectID,ConnectM
304,126,CircleCritical,Increase Critical Chance by +{0}%,5,3818,6000,10500,21000,42000,3,6,9,12,15,5,0,116,1
302,121,CircleAtkDelay,Reduce Attack Delay by -{0}s,5,4091,6429,11250,22500,45000,-0.025,-0.05,-0.075,-0.1,-0.15,0,4,106,1
104,112,GameMonsterLevel,Increase Monster Level by +{0},1,5000,0,0,0,0,1,0,0,0,0,1,4,121,0
301,113,CircleAtk,Increase Attack by +{0},5,5366,8433,14758,29515,59030,18,25,35,50,70,-1,4,121,0
101,120,GamePlayTime,Increase Play Time by +{0}s,5,5576,8763,15335,30671,61341,2,6,12,16,20,-2,5,113,0
103,162,GameSpawnTime,Reduce Spawn Time by -{0}s,5,5957,9361,16382,32764,65528,-0.05,-0.1,-0.15,-0.2,-0.25,2,5,162,0
105,167,GameGoldBonusChance,Increase Bonus Gold Chance by +{0}%,5,5957,9361,16382,32764,65528,2,4,6,8,10,3,6,112,0
201,139,CenterHP,Increase HP by +{0},5,6563,10314,18049,36098,72196,50,100,150,200,400,-3,6,120,0
305,137,CircleCriticalDam,Increase Critical Damage by +{0}x,5,6727,10571,18500,37000,74000,1,1.1,1.2,1.4,1.5,-7,0,130,1
306,138,CircleVampire,Increase Life Steal by +{0}%,5,7273,11429,20000,40000,80000,0.25,0.3,0.5,0.75,1,-8,0,137,0
102,114,GameGoldGain,Increase Gold Gain by +{0}%,5,7389,11612,20321,40641,81282,0.6,0.8,1.1,1.5,2,-9,0,138,0
304,136,CircleCritical,Increase Critical Chance by +{0}%,5,9091,14286,25000,50000,100000,4,8,12,16,20,-9,-1,114,0
302,132,CircleAtkDelay,Reduce Attack Delay by -{0}s,5,13636,21429,37500,75000,150000,-0.025,-0.05,-0.075,-0.1,-0.15,-8,-1,137,0
1001,144,SkillChainLightning,Unlock Skill ChainLightning,1,15000,0,0,0,0,0,0,0,0,0,-3,-1,105,0
104,117,GameMonsterLevel,Increase Monster Level by +{0},1,20000,0,0,0,0,1,0,0,0,0,-7,-2,137,0
303,141,CircleRadius,Increase Attack Radius by +{0},5,20000,31429,55000,110000,220000,0.1,0.15,0.2,0.25,0.3,-8,-2,132,0
301,118,CircleAtk,Increase Attack by +{0},5,25754,40470,70823,141646,283291,100,140,200,280,400,-9,-2,141,0
305,142,CircleCriticalDam,Increase Critical Damage by +{0}x,5,39091,61429,107500,215000,430000,1.5,1.75,2,2.25,2.5,7,0,126,1
306,152,CircleVampire,Increase Life Steal by +{0}%,5,77273,121429,212500,425000,850000,1,1.5,2,2.5,3,8,0,142,0
1002,145,SkillDeathBlast,Unlock Skill DeathBlast,1,50000,0,0,0,0,0,0,0,0,0,0,6,121,0
1003,147,SkillOrbital,Unlock Skill Orbital,1,80000,0,0,0,0,0,0,0,0,0,5,-1,126,0
1001,171,SkillChainLightning_Up,ChainLightning Dmg Mult +{0}x,1,300000,0,0,0,0,1,0,0,0,0,5,1,126,0
302,140,CircleAtkDelay,Reduce Attack Delay by -{0}s,5,363636,571429,1000000,2000000,4000000,-0.2,-0.25,-0.3,-0.35,-0.4,8,-1,152,0
104,122,GameMonsterLevel,Increase Monster Level by +{0},1,500000,0,0,0,0,1,0,0,0,0,9,0,152,0
304,143,CircleCritical,Increase Critical Chance by +{0}%,5,500000,785714,1375000,2750000,5500000,5,10,15,20,25,9,-1,122,0
303,154,CircleRadius,Increase Attack Radius by +{0},5,545455,857143,1500000,3000000,6000000,0.3,0.35,0.4,0.45,0.5,9,1,122,0
301,123,CircleAtk,Increase Attack by +{0},5,597958,939649,1644385,3288770,6577540,363,521,740,970,1400,7,2,142,0
1004,149,SkillLaser,Unlock Skill Laser,1,120000,0,0,0,0,0,0,0,0,0,-6,3,111,0
103,163,GameSpawnTime,Reduce Spawn Time by -{0}s,5,632993,994703,1740731,3481462,6962923,-0.05,-0.1,-0.15,-0.2,-0.25,7,-2,142,0
105,168,GameGoldBonusChance,Increase Bonus Gold Chance by +{0}%,5,632993,994703,1740731,3481462,6962923,2,4,6,8,10,0,8,145,0
202,155,CenterDefense,Increase Defense by +{0},5,636364,1000000,1750000,3500000,7000000,3,5,8,12,15,0,9,168,0
1002,146,SkillDeathBlast_Up,DeathBlast Dmg Mult +{0}x,1,700000,0,0,0,0,1,0,0,0,0,1,8,168,0
101,129,GamePlayTime,Increase Play Time by +{0}s,5,758739,1192304,2086533,4173066,8346131,3,6,12,16,20,-1,8,168,0
102,119,GameGoldGain,Increase Gold Gain by +{0}%,5,856023,1345180,2354065,4708129,9416258,0.8,1,1.4,2.2,2.8,0,-3,107,1
201,159,CenterHP,Increase HP by +{0},5,893555,1404158,2457276,4914552,9829103,400,600,800,1000,1500,1,-3,119,0
1003,148,SkillOrbital_Up,Orbital Dmg Mult +{0}x,1,1000000,0,0,0,0,1,0,0,0,0,-1,-3,119,0
305,151,CircleCriticalDam,Increase Critical Damage by +{0}x,5,1000000,1571429,2750000,5500000,11000000,2,2.25,2.5,3,3.5,-1,-4,148,0
104,127,GameMonsterLevel,Increase Monster Level by +{0},1,1300000,0,0,0,0,1,0,0,0,0,0,-4,119,0
306,156,CircleVampire,Increase Life Steal by +{0}%,5,1318182,2071429,3625000,7250000,14500000,3,3.5,4,4.5,5,0,-5,127,0
1004,150,SkillLaser_Up,Laser Dmg Mult {0}x,1,1800000,0,0,0,0,1,0,0,0,0,1,-4,127,0
1001,172,SkillChainLightning_Up,ChainLightning Dmg Mult +{0}x,1,3200000,0,0,0,0,1,0,0,0,0,1,-5,150,0
1002,174,SkillDeathBlast_Up,DeathBlast Dmg Mult +{0}x,1,5500000,0,0,0,0,1,0,0,0,0,2,-5,172,0
1003,176,SkillOrbital_Up,Orbital Dmg Mult +{0}x,1,7200000,0,0,0,0,1,0,0,0,0,2,-6,174,0
101,135,GamePlayTime,Increase Play Time by +{0}s,5,12237843,19230897,33654069,67308139,134616277,5,10,15,20,25,1,-6,172,0
202,157,CenterDefense,Increase Defense by +{0},5,13636364,21428571,37500000,75000000,150000000,5,8,11,15,20,4,-5,174,1
102,124,GameGoldGain,Increase Gold Gain by +{0}%,5,13752665,21611330,37819828,75639656,151279311,1,1.2,1.8,2.4,3.3,5,-5,157,0
103,164,GameSpawnTime,Reduce Spawn Time by -{0}s,5,14453019,22711887,39745803,79491606,158983212,-0.05,-0.1,-0.15,-0.2,-0.25,6,-5,124,0
105,169,GameGoldBonusChance,Increase Bonus Gold Chance by +{0}%,5,14453019,22711887,39745803,79491606,158983212,3,5,8,15,20,7,-5,164,0
302,153,CircleAtkDelay,Reduce Attack Delay by -{0}s,5,18181818,28571429,50000000,100000000,200000000,-0.2,-0.25,-0.3,-0.35,-0.4,4,-6,157,0
201,170,CenterHP,Increase HP by +{0},5,19962117,31369040,54895821,109791641,219583282,1000,1500,2000,2500,3000,5,-6,124,0
301,128,CircleAtk,Increase Attack by +{0},5,26961595,42368220,74144385,148288770,296577540,1000,1737,2389,2828,3672,6,-6,164,0
304,158,CircleCritical,Increase Critical Chance by +{0}%,5,27272727,42857143,75000000,150000000,300000000,6,12,18,24,30,-7,-4,117,1
104,131,GameMonsterLevel,Increase Monster Level by +{0},1,30000000,0,0,0,0,1,0,0,0,0,-6,-4,158,0
1001,173,SkillChainLightning_Up,ChainLightning Dmg Mult +{0}x,1,75000000,0,0,0,0,1,0,0,0,0,-6,-5,131,0
1002,175,SkillDeathBlast_Up,DeathBlast Dmg Mult +{0}x,1,100000000,0,0,0,0,1.25,0,0,0,0,-7,-5,158,0
1004,178,SkillLaser_Up,Laser Dmg Mult {0}x,1,120000000,0,0,0,0,1.25,0,0,0,0,-7,-6,175,0
1003,177,SkillOrbital_Up,Orbital Dmg Mult +{0}x,1,180000000,0,0,0,0,1,0,0,0,0,-6,-6,173,0
1004,179,SkillLaser_Up,Laser Dmg Mult {0}x,1,300000000,0,0,0,0,1.75,0,0,0,0,-7,-8,178,1
